VARIABLE,TYPE,LABEL,GROUP
DP04_0107E,int,Number!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage,DP04
DP04_0107PE,int,Percent!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage,DP04
DP04_0108E,int,Number!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!Less than 20.0 percent,DP04
DP04_0108PE,float,Percent!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!Less than 20.0 percent,DP04
DP04_0109E,int,Number!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!20.0 to 24.9 percent,DP04
DP04_0109PE,float,Percent!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!20.0 to 24.9 percent,DP04
DP04_0110E,int,Number!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!25.0 to 29.9 percent,DP04
DP04_0110PE,float,Percent!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!25.0 to 29.9 percent,DP04
DP04_0111E,int,Number!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!30.0 to 34.9 percent,DP04
DP04_0111PE,float,Percent!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!30.0 to 34.9 percent,DP04
DP04_0112E,int,Number!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!35.0 percent or more,DP04
DP04_0112PE,float,Percent!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!35.0 percent or more,DP04
DP04_0113E,int,Number!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!Not computed,DP04
DP04_0113PE,int,Percent!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit with a mortgage!!Not computed,DP04
DP04_0114E,int,Number!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit without a mortgage,DP04
DP04_0114PE,int,Percent!!Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME!!Owner-occupied units!!Housing unit without a mortgage,DP04
